"";"Estaciones";"2019";"2018";"NA"
"1";"180";212;47;NA
"2";"105";209;64;NA
"3";"108";192;64;NA
"4";"109";187;74;NA
"5";"172";186;20;NA
"6";"106";180;33;NA
"7";"77";178;55;NA
"8";"93";178;71;NA
"9";"97";178;60;NA
"10";"164";176;20;NA
"11";"96";172;65;NA
"12";"113";167;63;NA
"13";"89";165;66;NA
"14";"101";165;62;NA
"15";"13";160;55;NA
"16";"156";159;21;NA
"17";"187";155;58;NA
"18";"81";152;42;NA
"19";"155";150;33;NA
"20";"192";150;44;NA
"21";"198";150;45;NA
"22";"80";144;46;NA
"23";"188";144;48;NA
"24";"85";143;23;NA
"25";"199";140;45;NA
"26";"100";136;59;NA
"27";"88";132;59;NA
"28";"179";132;9;NA
"29";"197";130;41;NA
"30";"181";129;26;NA
"31";"173";128;6;NA
"32";"20";122;56;NA
"33";"104";122;59;NA
"34";"196";120;10;NA
"35";"147";119;28;NA
"36";"165";119;9;NA
"37";"6";115;50;NA
"38";"17";115;38;NA
"39";"112";113;48;NA
"40";"16";111;47;NA
"41";"64";109;14;NA
"42";"92";108;49;NA
"43";"24";106;46;NA
"44";"186";106;38;NA
"45";"72";105;28;NA
"46";"27";103;53;NA
"47";"193";100;19;NA
"48";"10";94;46;NA
"49";"30";90;41;NA
"50";"102";90;12;NA
"51";"94";86;23;NA
"52";"139";86;3;NA
"53";"2";83;37;NA
"54";"73";83;8;NA
"55";"121";80;30;NA
"56";"7";78;25;NA
"57";"110";78;2;NA
"58";"9";71;44;NA
"59";"117";71;24;NA
"60";"133";68;2;NA
"61";"48";67;5;NA
"62";"45";62;16;NA
"63";"118";62;29;NA
"64";"125";61;24;NA
"65";"78";60;7;NA
"66";"128";58;6;NA
"67";"68";57;12;NA
"68";"86";54;10;NA
"69";"60";53;7;NA
"70";"129";51;3;NA
"71";"33";50;21;NA
"72";"76";50;10;NA
"73";"3";48;32;NA
"74";"238";48;22;NA
"75";"69";44;7;NA
"76";"146";44;4;NA
"77";"124";42;15;NA
"78";"114";36;4;NA
"79";"51";34;5;NA
"80";"42";31;8;NA
"81";"14";17;12;NA
"82";"231";17;8;NA
"83";"107";16;NA;NA
"84";"84";15;2;NA
"85";"36";14;2;NA
"86";"194";10;3;NA
"87";"195";3;10;NA
"88";"82";9;1;NA
"89";"252";8;3;NA
"90";"174";7;NA;NA
"91";"241";4;7;NA
"92";"11";4;6;NA
"93";"134";6;NA;NA
"94";"39";5;1;NA
"95";"49";5;NA;NA
"96";"182";5;NA;NA
"97";"55";4;3;NA
"98";"70";4;1;NA
"99";"122";4;1;NA
"100";"243";1;4;NA
"101";"248";3;4;NA
"102";"59";2;3;NA
"103";"74";3;2;NA
"104";"90";3;1;NA
"105";"189";3;NA;NA
"106";"191";1;3;NA
"107";"232";1;3;NA
"108";"247";2;3;NA
"109";"21";2;1;NA
"110";"31";2;2;NA
"111";"52";2;NA;NA
"112";"63";2;2;NA
"113";"168";2;NA;NA
"114";"225";NA;2;NA
"115";"246";NA;2;NA
"116";"249";2;2;NA
"117";"4";1;1;NA
"118";"8";NA;1;NA
"119";"25";NA;1;NA
"120";"28";NA;1;NA
"121";"43";1;1;NA
"122";"46";1;1;NA
"123";"56";NA;1;NA
"124";"65";1;NA;NA
"125";"71";1;1;NA
"126";"98";NA;1;NA
"127";"123";1;NA;NA
"128";"126";1;NA;NA
"129";"127";1;NA;NA
"130";"148";NA;1;NA
"131";"157";NA;1;NA
"132";"159";1;NA;NA
"133";"160";1;NA;NA
"134";"167";1;NA;NA
"135";"185";1;NA;NA
"136";"220";1;NA;NA
"137";"227";1;NA;NA
"138";"234";1;NA;NA
"139";"242";1;NA;NA
"140";"244";1;NA;NA
"141";"245";NA;1;NA
"142";"251";1;1;NA
"143";"Total";NA;NA;11715
"144";"Total";9048;2667;11715
